L,H,Do,WP,FW,led,TF,TW,Elastic Load
4000,700,412,119.48,216,201,15,12,338.8
4000,700,412,119.48,216,201,20,12,421.0
4000,700,412,119.48,216,201,25,12,513.0
4000,700,412,119.48,216,201,15,15,493.6
4000,700,412,119.48,216,201,20,15,600.5
4000,700,412,119.48,216,201,25,15,718.3
4000,700,412,201.88,216,566,15,9,232.8
4000,700,412,201.88,216,566,20,9,300.9
4000,700,412,201.88,216,566,25,9,366.3
4000,700,412,201.88,216,566,15,12,385.2
4000,700,412,201.88,216,566,20,12,475.7
4000,700,412,201.88,216,566,25,12,578.8
4000,700,412,201.88,216,566,15,15,542.8
4000,700,412,201.88,216,566,20,15,662.9
4000,700,412,201.88,216,566,25,15,788.9
4000,560,448,44.8,216,297,15,9,164.5
4000,560,448,44.8,216,297,20,9,185.8
4000,560,448,44.8,216,297,25,9,196.9
4000,560,448,44.8,216,297,15,12,278.5
4000,560,448,44.8,216,297,20,12,355.5
4000,560,448,44.8,216,297,25,12,411.9
4000,560,448,44.8,216,297,15,15,400.9
4000,560,448,44.8,216,297,20,15,501.5
4000,560,448,44.8,216,297,25,15,612.2
4000,560,448,129.92,216,42,15,9,199.7
4000,560,448,129.92,216,42,20,9,199.7
4000,560,448,129.92,216,42,25,9,199.7
4000,560,448,129.92,216,42,15,12,199.7
4000,560,448,129.92,216,42,20,12,199.7
4000,560,448,129.92,216,42,25,12,199.7
4000,560,448,129.92,216,42,15,15,199.7
4000,560,448,129.92,216,42,20,15,199.7
4000,560,448,129.92,216,42,25,15,199.7
4000,560,448,219.52,216,440,15,9,268.7
4000,560,448,219.52,216,440,20,9,333.5
4000,560,448,219.52,216,440,25,9,369.3
4000,560,448,219.52,216,440,15,12,413.7
4000,560,448,219.52,216,440,20,12,515.2
4000,560,448,219.52,216,440,25,12,619.1
4000,560,448,219.52,216,440,15,15,545.2
4000,560,448,219.52,216,440,20,15,681.4
4000,560,448,219.52,216,440,25,15,816.6
4000,560,373,37.3,216,173.5,15,9,182.4
4000,560,373,37.3,216,173.5,20,9,228.5
4000,560,373,37.3,216,173.5,25,9,247.4
4000,560,373,37.3,216,173.5,15,12,298.2
4000,560,373,37.3,216,173.5,20,12,385.6
4000,560,373,37.3,216,173.5,25,12,475.9
4000,560,373,37.3,216,173.5,15,15,428.8
4000,560,373,37.3,216,173.5,20,15,534.7
4000,560,373,37.3,216,173.5,25,15,657.1
4000,560,373,108.17,216,370.5,15,9,246.7
4000,560,373,108.17,216,370.5,20,9,304.4
4000,560,373,108.17,216,370.5,25,9,333.7
4000,560,373,108.17,216,370.5,15,12,394.1
4000,560,373,108.17,216,370.5,20,12,491.0
4000,560,373,108.17,216,370.5,25,12,592.4
4000,560,373,108.17,216,370.5,15,15,531.7
4000,560,373,108.17,216,370.5,20,15,661.9
4000,560,373,108.17,216,370.5,25,15,794.9
4000,560,373,182.77,216,145.5,15,9,269.2
4000,560,373,182.77,216,145.5,20,9,318.8
4000,560,373,182.77,216,145.5,25,9,343.5
4000,560,373,182.77,216,145.5,15,12,426.7
4000,560,373,182.77,216,145.5,20,12,528.0
4000,560,373,182.77,216,145.5,25,12,628.4
4000,560,373,182.77,216,145.5,15,15,561.9
4000,560,373,182.77,216,145.5,20,15,702.8
4000,560,373,182.77,216,145.5,25,15,841.5
4000,560,329,32.9,216,25.5,15,9,189.1
4000,560,329,32.9,216,25.5,20,9,227.4
4000,560,329,32.9,216,25.5,25,9,239.4
4000,560,329,32.9,216,25.5,15,12,315.4
4000,560,329,32.9,216,25.5,20,12,403.6
4000,560,329,32.9,216,25.5,25,12,490.2
4000,560,329,32.9,216,25.5,15,15,454.6
4000,560,329,32.9,216,25.5,20,15,565.1
4000,560,329,32.9,216,25.5,25,15,691.5
4000,560,329,95.41,216,139.5,15,9,248.3
4000,560,329,95.41,216,139.5,20,9,300.8
4000,560,329,95.41,216,139.5,25,9,325.6
4000,560,329,95.41,216,139.5,15,12,401.8
4000,560,329,95.41,216,139.5,20,12,499.0
4000,560,329,95.41,216,139.5,25,12,600.1
4000,560,329,95.41,216,139.5,15,15,541.4
4000,560,329,95.41,216,139.5,20,15,674.6
4000,560,329,95.41,216,139.5,25,15,810.1
4000,560,329,161.21,216,365.5,15,9,284.1
4000,560,329,161.21,216,365.5,20,9,355.3
4000,560,329,161.21,216,365.5,25,9,409.9
4000,560,329,161.21,216,365.5,15,12,440.5
4000,560,329,161.21,216,365.5,20,12,547.1
